UDS,$1.68,-2.17%,$209.95M,63.83%,"$3.62M1.35%
1
D

16
H

58
M

15
S","$5.62M
2.10%"
SOSO,$0.407,0.0112,$127.03M,29.29%,"$5.42M4.55%
3
D

1
H

58
M

15
S","$5.42M
4.55%"
H,$0.095,0.0169,$173.01M,25.16%,"$9.99M4.19%
3
D

16
H

58
M

15
S","$9.99M
4.19%"
TRIBL,$0.000045,-1.38%,$682.22M,87.99%,"$643.131.64%
3
D

16
H

58
M

15
S","$643.13
1.64%"
XPL,$0.096,-5.08%,$215.30M,22.32%,"$8.53M3.98%
4
D

4
H

58
M

15
S","$8.53M
3.98%"
AERO,$0.321,-1.78%,$296.33M,61.54%,"$9.62<0.01%
4
D

16
H

58
M

15
S","$1.21M
0.30%"
JUP,$0.160,-0.51%,$561.11M,51.13%,"$8.58M1.55%
7
D

6
H

58
M

15
S","--
--"
OP,$0.123,-1.25%,$260.04M,46.97%,"$3.85M1.55%
9
D

16
H

58
M

16
S","--
--"
IOTA,$0.061,-1.66%,$267.28M,83.82%,"$759.96K0.32%
10
D

16
H

58
M

15
S","--
--"
SUI,$0.968,-0.78%,$3.78B,39.01%,"$41.58M1.10%
10
D

16
H

58
M

15
S","$2.36M
0.06%"
EIGEN,$0.199,0.0075,$128.64M,29.18%,"$7.32M7.54%
10
D

20
H

58
M

15
S","--
--"
ENA,$0.102,-3.12%,$869.97M,52.24%,"$4.16M0.52%
11
D

23
H

58
M

15
S","--
--"
HYPE,$39.39,-0.77%,$9.37B,41.53%,"$390.62M2.66%
15
D

16
H

58
M

15
S



Awaiting","--
--"
APT,$1.00,0.0038,$791.97M,63.89%,"$11.31M0.68%
22
D

0
H

58
M

15
S","$1.12M
0.07%"
XCN,$0.005219,-1.77%,$195.58M,78.49%,"$1.55M0.78%
24
D

16
H

58
M

15
S","--
--"
STRK,$0.036,-2.38%,$203.60M,30.12%,"$4.58M4.22%
24
D

16
H

58
M

15
S","--
--"
SEI,$0.064,-1.11%,$428.55M,56.26%,"$3.53M0.97%
25
D

4
H

58
M

15
S","$1.29M
0.36%"
ARB,$0.100,-1.26%,$603.02M,52.96%,"$9.25M1.75%
26
D

5
H

58
M

15
S","$334.48K
0.06%"
ZK,$0.018,-3.39%,$170.46M,28.58%,"$3.20M2.88%
27
D

0
H

58
M

15
S","--
--"
ZRO,$2.06,0.0125,$517.97M,48.14%,"$52.96M5.34%
30
D

3
H

58
M

15
S","--
--"
AVAX,$9.59,0.0029,$4.14B,73.86%,"$15.98M0.31%
51
D

16
H

58
M

15
S","$6.71M
0.13%"
PYTH,$0.043,-3.91%,$249.24M,57.50%,"$92.01M36.96%
59
D

6
H

58
M

15
S","--
--"
PUMP,$0.001878,-0.99%,$1.11B,43.00%,"$154.90M19.19%
113
D

6
H

58
M

15
S","--
--"
2Z,$0.077,-1.52%,$265.65M,34.70%,"$126.65M47.69%
195
D

5
H

58
M

15
S","--
--"
MON,$0.022,-1.11%,$238.09M,49.84%,"$369.22M32.80%
248
D

6
H

58
M

15
S","$3.74M
0.34%"
ONDO,$0.261,-0.61%,$1.27B,53.29%,"$505.96M36.40%
303
D

4
H

58
M

15
S","--
--"
XDC,$0.033,0.0263,$636.45M,63.68%,"$27.65M4.76%
320
D

16
H

58
M

15
S","--
--"
ETH,"$2,153.01",0.0068,$259.80B,93.14%,No upcoming event,"$39.18M
0.01%"
BNB,$642.37,-0.09%,$87.58B,100.00%,No upcoming event,"--
--"
SOL,$90.07,0.0092,$51.46B,81.55%,No upcoming event,"$42.47M
0.07%"
WBT,$55.37,-0.26%,$11.82B,93.75%,No upcoming event,"--
--"
ADA,$0.266,-1.99%,$9.80B,69.14%,No upcoming event,"--
--"
LEO,$9.22,0.0023,$8.49B,100.00%,No upcoming event,"--
--"
LINK,$9.11,0.0003,$6.45B,58.81%,No upcoming event,"--
--"
MURA,$0.004597,-0.18%,$5.01B,98.00%,No upcoming event,"$45.97K
1.02%"
SHIB,$0.056020,-0.86%,$3.55B,100.00%,No upcoming event,"--
--"
WLFI,$0.094,0.0161,$2.59B,24.67%,No upcoming event,"--
--"
DOT,$1.51,-2.01%,$2.53B,65.68%,No upcoming event,"$3.48M
0.13%"
MNT,$0.752,-0.69%,$2.46B,51.02%,No upcoming event,"--
--"
UNI,$3.60,-0.69%,$2.28B,100.00%,No upcoming event,"--
--"
FTM,$0.045,-2.49%,$1.97B,100.00%,No upcoming event,"--
--"
ATOM,$2.17,-4.82%,$1.91B,63.42%,No upcoming event,"$1.88M
0.18%"
OKB,$89.18,0.0009,$1.87B,100.00%,No upcoming event,"--
--"
NEAR,$1.32,-3.21%,$1.70B,74.42%,No upcoming event,"$1.66M
0.10%"
ASTER,$0.690,0.0033,$1.69B,46.70%,No upcoming event,"$7.09M
0.28%"
AAVE,$111.54,-0.98%,$1.69B,95.87%,No upcoming event,"$955.68K
0.06%"
BGB,$2.14,0.0005,$1.50B,97.87%,No upcoming event,"$1.20M
0.06%"
PEPE,$0.053440,-0.86%,$1.45B,100.00%,No upcoming event,"--
--"
POL,$0.097,-1.79%,$1.03B,86.04%,No upcoming event,"$387.08K
0.04%"
WLD,$0.320,-3.81%,$951.53M,48.87%,No upcoming event,"$11.92M
0.76%"
RENDER,$1.71,-4.94%,$885.25M,49.22%,No upcoming event,"--
--"
BIT,$0.703,-6.02%,$829.29M,100.00%,No upcoming event,"--
--"
ALGO,$0.090,-1.70%,$798.11M,100.00%,No upcoming event,"--
--"
TRUMP,$3.38,0.0062,$785.98M,52.46%,No upcoming event,"$21.39M
1.21%"
BDX,$0.080,-0.24%,$609.17M,79.00%,No upcoming event,"--
--"
BONK,$0.055960,-1.87%,$524.17M,95.00%,No upcoming event,"--
--"
FET,$0.228,-4.92%,$515.90M,80.28%,No upcoming event,"$729.23K
0.15%"
ETHFI,$0.615,0.1397,$486.34M,65.75%,No upcoming event,"$1.27M
0.31%"
FTN,$1.09,-0.01%,$472.27M,100.00%,No upcoming event,"--
--"
VIRTUAL,$0.703,-4.45%,$461.42M,65.00%,No upcoming event,"--
--"
PENGU,$0.007135,-3.02%,$448.67M,73.22%,No upcoming event,"$1.19M
0.41%"
CHZ,$0.036,0.0119,$374.93M,42.50%,No upcoming event,"--
--"
CRV,$0.235,-1.68%,$349.39M,78.34%,No upcoming event,"$520.29K
0.09%"
CFX,$0.065,-0.29%,$338.17M,94.61%,No upcoming event,"--
--"
MATIC,- -,--,$316.01M,100.00%,No upcoming event,"--
--"
INJ,$3.10,-3.23%,$309.79M,100.00%,No upcoming event,"--
--"
KAIA,$0.051,-1.44%,$300.79M,70.55%,No upcoming event,"$295.31K
0.09%"
TIA,$0.334,-1.66%,$299.34M,62.84%,No upcoming event,"$1.16M
0.34%"
GRT,$0.026,-1.48%,$280.86M,93.41%,No upcoming event,"$124.13K
0.05%"
SYRUP,$0.238,-1.07%,$274.84M,98.42%,No upcoming event,"$183.43K
0.06%"
LIT,$1.08,-10.16%,$269.95M,25.00%,No upcoming event,"--
--"
FTT,$0.293,0.0035,$264.39M,100.00%,No upcoming event,"--
--"
IP,$0.747,-2.80%,$262.83M,37.79%,No upcoming event,"$1.02M
0.36%"
ZBCN,$0.002519,-3.55%,$247.90M,52.42%,No upcoming event,"$1.33M
1.01%"
ENS,$6.28,-0.94%,$241.12M,100.00%,No upcoming event,"--
--"
SAND,$0.082,-1.43%,$217.53M,100.00%,No upcoming event,"--
--"
PENDLE,$1.27,-0.73%,$210.34M,102.32%,No upcoming event,"$119.09K
0.03%"
GRASS,$0.379,-4.58%,$205.29M,48.51%,No upcoming event,"$1.51M
0.82%"
AXS,$1.20,-3.01%,$202.95M,100.00%,No upcoming event,"--
--"
COMP,$19.32,-0.15%,$186.78M,100.00%,No upcoming event,"--
--"
FLUID,$2.33,0.0229,$183.18M,52.15%,No upcoming event,"--
--"
WIF,$0.179,0.0121,$179.30M,100.00%,No upcoming event,"--
--"
CVX,$1.85,0.0202,$169.82M,100.00%,No upcoming event,"--
--"
S,$0.044,-1.05%,$168.71M,68.03%,No upcoming event,"$147.18K
0.10%"
FF,$0.071,-0.45%,$165.90M,8.30%,No upcoming event,"--
--"
CFG,$0.148,-5.66%,$162.79M,29.20%,No upcoming event,"--
--"
AKT,$0.538,0.0557,$140.58M,73.32%,No upcoming event,"$196.79K
0.13%"
ATH,$0.007630,0.1011,$140.01M,28.59%,No upcoming event,"$1.07M
1.17%"
IMX,$0.164,-1.63%,$139.71M,100.00%,No upcoming event,"--
--"
JTO,$0.305,-0.46%,$137.03M,60.05%,No upcoming event,"$1.28M
0.70%"
1INCH,$0.096,-0.17%,$134.91M,92.54%,No upcoming event,"--
--"
BERA,$0.568,0.0245,$130.19M,32.46%,No upcoming event,"$2.21M
1.62%"
COW,$0.231,-0.79%,$129.48M,48.44%,No upcoming event,"--
--"
OZO,$0.130,-0.26%,$124.43M,91.37%,No upcoming event,"$320.18K
0.27%"
EGLD,$4.15,-0.86%,$122.78M,96.61%,No upcoming event,"$63.60K
0.05%"
